review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV_ORD_000001,ORD_000001,1,,,,
REV_ORD_000002,ORD_000002,1,,,,
REV_ORD_000003,ORD_000003,3,,,,
REV_ORD_000004,ORD_000004,1,,,,
REV_ORD_000005,ORD_000005,5,,,,
REV_ORD_000006,ORD_000006,5,,,,
REV_ORD_000007,ORD_000007,4,,,,
REV_ORD_000008,ORD_000008,4,,,,
REV_ORD_000009,ORD_000009,1,,,,
REV_ORD_000010,ORD_000010,1,,,,
REV_ORD_000011,ORD_000011,5,,,,
REV_ORD_000012,ORD_000012,1,,,,
REV_ORD_000013,ORD_000013,1,,,,
REV_ORD_000014,ORD_000014,5,,,,
REV_ORD_000015,ORD_000015,5,,,,
REV_ORD_000016,ORD_000016,1,,,,
REV_ORD_000017,ORD_000017,2,,,,
REV_ORD_000018,ORD_000018,4,,,,
REV_ORD_000019,ORD_000019,3,,,,
REV_ORD_000020,ORD_000020,5,,,,
REV_ORD_000021,ORD_000021,4,,,,
REV_ORD_000022,ORD_000022,3,,,,
REV_ORD_000023,ORD_000023,3,,,,
REV_ORD_000024,ORD_000024,5,,,,
REV_ORD_000025,ORD_000025,5,,,,
REV_ORD_000026,ORD_000026,5,,,,
REV_ORD_000027,ORD_000027,4,,,,
REV_ORD_000028,ORD_000028,5,,,,
REV_ORD_000029,ORD_000029,4,,,,
REV_ORD_000030,ORD_000030,3,,,,
REV_ORD_000031,ORD_000031,5,,,,
REV_ORD_000032,ORD_000032,5,,,,
REV_ORD_000033,ORD_000033,3,,,,
REV_ORD_000034,ORD_000034,2,,,,
REV_ORD_000035,ORD_000035,3,,,,
REV_ORD_000036,ORD_000036,4,,,,
REV_ORD_000037,ORD_000037,3,,,,
REV_ORD_000038,ORD_000038,2,,,,
REV_ORD_000039,ORD_000039,1,,,,
REV_ORD_000040,ORD_000040,4,,,,
REV_ORD_000041,ORD_000041,5,,,,
REV_ORD_000042,ORD_000042,3,,,,
REV_ORD_000043,ORD_000043,5,,,,
REV_ORD_000044,ORD_000044,3,,,,
REV_ORD_000045,ORD_000045,3,,,,
REV_ORD_000046,ORD_000046,5,,,,
REV_ORD_000047,ORD_000047,5,,,,
REV_ORD_000048,ORD_000048,2,,,,
REV_ORD_000049,ORD_000049,2,,,,
REV_ORD_000050,ORD_000050,1,,,,
REV_ORD_000051,ORD_000051,3,,,,
REV_ORD_000052,ORD_000052,5,,,,
REV_ORD_000053,ORD_000053,3,,,,
REV_ORD_000054,ORD_000054,2,,,,
REV_ORD_000055,ORD_000055,4,,,,
REV_ORD_000056,ORD_000056,4,,,,
REV_ORD_000057,ORD_000057,3,,,,
REV_ORD_000058,ORD_000058,4,,,,
REV_ORD_000059,ORD_000059,3,,,,
